CODE,SIZE,QUANTITY,1 UNIT COST (QR),CATEGORY,PRODUCT NAME,PHOTO
AW000,XL,5,250,WOMENS,JACKET (MID ZIP),https://example.com/jacket1.jpg|https://example.com/jacket2.jpg
AW000,L,5,250,WOMENS,JACKET (MID ZIP),
AW000,M,6,250,WOMENS,JACKET (MID ZIP),
AW000,S,5,250,WOMENS,JACKET (MID ZIP),
AW001,XL,5,280,WOMENS,JACKET,https://example.com/jacket-main.jpg
AW001,L,5,280,WOMENS,JACKET,
AW001,M,7,280,WOMENS,JACKET,
AW001,S,3,280,WOMENS,JACKET,
AW002,XXL,4,216,UNISEX,OVERSIZED T-SHIRT,
AW002,XL,5,216,UNISEX,OVERSIZED T-SHIRT,
AW002,L,4,216,UNISEX,OVERSIZED T-SHIRT,
AW002,M,6,216,UNISEX,OVERSIZED T-SHIRT,
AW002,S,8,216,UNISEX,OVERSIZED T-SHIRT,
